subject,date,run,block,stimulus,nStim,stimID,noise,threshold,slope
zh,27/11/2024,,,grating,1,4,variable,0.00027,
zh,27/11/2024,,,grating,1,1,variable,0.0003489,
zh,27/11/2024,,,grating,1,5,variable,0.000268,
zh,27/11/2024,,,grating,5,0,variable,0.000384,
zh,27/11/2024,,,grating,5,0,variable,0.00032,
zh,27/11/2024,,,grating,5,0,variable,0.000258,
zh,27/11/2024,,,texture,1,4,variable,0.00016,
zh,27/11/2024,,,texture,1,1,variable,0.0001939,
zh,27/11/2024,,,texture,1,5,variable,0.000254,
zh,27/11/2024,,,texture,5,4,variable,0.00133,
zh,27/11/2024,,,texture,5,1,variable,0.000405,
zh,27/11/2024,,,texture,5,5,variable,0.000326,
zh,02/12/2024,,,grating,1,2,variable,0.00020916,
zh,02/12/2024,,,grating,1,3,variable,0.000595,
zh,02/12/2024,,,grating,1,4,variable,0.0004431,
zh,02/12/2024,,,grating,5,0,variable,0.000326,
zh,02/12/2024,,,grating,5,0,variable,0.0001895,
zh,02/12/2024,,,grating,5,0,variable,0.0002019,
zh,02/12/2024,,,texture,1,4,variable,0.0002173,
zh,02/12/2024,,,texture,1,3,variable,0.000536,
zh,02/12/2024,,,texture,1,2,variable,0.000363,
zh,02/12/2024,,,texture,5,0,variable,0.000384,
zh,02/12/2024,,,texture,5,0,variable,0.000506,
zh,02/12/2024,,,texture,5,0,variable,0.000109,
cn,02/12/2024,,1,grating,1,4,variable,0.000198,
cn,02/12/2024,,2,grating,1,3,variable,0.000281,
cn,02/12/2024,,3,grating,1,2,variable,0.000349,
cn,02/12/2024,,4,grating,5,0,variable,0.000215,
cn,02/12/2024,,5,grating,5,0,variable,0.000421,
cn,02/12/2024,,6,grating,5,0,variable,0.000409,
cn,02/12/2024,,7,texture,1,3,variable,0.000205,
cn,02/12/2024,,8,texture,1,2,variable,0.000257,
cn,02/12/2024,,9,texture,1,4,variable,0.000568,
cn,02/12/2024,,10,texture,5,0,variable,0.000981,
cn,02/12/2024,,11,texture,5,0,variable,0.000567,
cn,02/12/2024,,12,texture,5,0,variable,0.000372,
cn,02/12/2024,,1,grating,1,1,fixed,0.001157,
cn,02/12/2024,,2,grating,1,2,fixed,0.000518,
cn,02/12/2024,,3,grating,1,5,fixed,0.00198,
cn,02/12/2024,,4,grating,5,0,fixed,0.00027,
cn,02/12/2024,,5,grating,5,0,fixed,0.000323,
cn,02/12/2024,,6,grating,5,0,fixed,0.000205,
cn,02/12/2024,,7,texture,1,1,fixed,0.000477,
cn,02/12/2024,,8,texture,1,5,fixed,0.00104,
cn,02/12/2024,,9,texture,1,2,fixed,0.000536,
cn,02/12/2024,,10,texture,5,0,fixed,0.000613,
cn,02/12/2024,,11,texture,5,0,fixed,0.000721,
cn,02/12/2024,,12,texture,5,0,fixed,0.000943,
zh,03/12/2024,,,grating,1,2,fixed,0.000869,
zh,03/12/2024,,,grating,1,3,fixed,0.0001956,
zh,03/12/2024,,,grating,1,4,fixed,0.0005348,
zh,03/12/2024,,,grating,5,0,fixed,0.000285,
zh,03/12/2024,,,grating,5,0,fixed,0.0001854,
zh,03/12/2024,,,grating,5,0,fixed,0.000314,
zh,03/12/2024,,,texture,1,4,fixed,0.0000636,
zh,03/12/2024,,,texture,1,3,fixed,0.0001789,
zh,03/12/2024,,,texture,1,2,fixed,0.000448,
zh,03/12/2024,,,texture,5,0,fixed,0.000563,
zh,03/12/2024,,,texture,5,0,fixed,0.0003758,
zh,03/12/2024,,,texture,5,0,fixed,0.000503,
jf,03/12/2024,,,grating,1,3,variable,0.000837,
jf,03/12/2024,,,grating,1,2,variable,0.009759,
jf,03/12/2024,,,grating,1,4,variable,0.018719,
jf,03/12/2024,,,grating,5,0,variable,0.001252,
jf,03/12/2024,,,grating,5,0,variable,0.000594,
jf,03/12/2024,,,grating,5,0,variable,0.006844,
jf,03/12/2024,,,texture,1,2,variable,0.002827,
jf,03/12/2024,,,texture,1,3,variable,0.00172,
jf,03/12/2024,,,texture,1,4,variable,0.015094,
jf,03/12/2024,,,texture,5,0,variable,0.001267,
jf,03/12/2024,,,texture,5,0,variable,0.001899,
jf,03/12/2024,,,texture,5,0,variable,0.003296,
cc,04/12/2024,,,grating,1,4,fixed,0.000698,
cc,04/12/2024,,,grating,1,5,fixed,0.000444,
cc,04/12/2024,,,grating,1,1,fixed,0.000955,
cc,04/12/2024,,,grating,5,0,fixed,0.000891,
cc,04/12/2024,,,grating,5,0,fixed,0.002232,
cc,04/12/2024,,,grating,5,0,fixed,0.002869,
cc,04/12/2024,,,texture,1,4,fixed,0.00111,
cc,04/12/2024,,,texture,1,5,fixed,0.00471,
cc,04/12/2024,,,texture,1,1,fixed,0.002527,
cc,04/12/2024,,,texture,5,0,fixed,0.000727,
cc,04/12/2024,,,texture,5,0,fixed,0.001885,
cc,04/12/2024,,,texture,5,0,fixed,0.001166,
jb,04/12/2024,,,grating,1,1,variable,0.00024274,
jb,04/12/2024,,,grating,1,2,variable,0.00023911,
jb,04/12/2024,,,grating,1,5,variable,0.0002222,
jb,04/12/2024,,,grating,5,0,variable,0.00041225,
jb,04/12/2024,,,grating,5,0,variable,0.00062115,
jb,04/12/2024,,,grating,5,0,variable,0.00060442,
jb,04/12/2024,,,texture,1,1,variable,0.00071515,
jb,04/12/2024,,,texture,1,5,variable,0.00033559,
jb,04/12/2024,,,texture,1,2,variable,0.00021417,
jb,04/12/2024,,,texture,5,0,variable,0.00012358,
jb,04/12/2024,,,texture,5,0,variable,0.0001566,
jb,04/12/2024,,,texture,5,0,variable,0.00029687,
jb,05/12/2024,,,grating,1,2,fixed,0.0001863,
jb,05/12/2024,,,grating,1,1,fixed,0.00038186,
jb,05/12/2024,,,grating,1,4,fixed,0.00018812,
jb,05/12/2024,,,grating,5,0,fixed,0.00041302,
jb,05/12/2024,,,grating,5,0,fixed,0.00030328,
jb,05/12/2024,,,grating,5,0,fixed,0.00043181,
jb,05/12/2024,,,texture,1,2,fixed,0.00047046,
jb,05/12/2024,,,texture,1,1,fixed,0.00041317,
jb,05/12/2024,,,texture,1,4,fixed,0.0004654,
jb,05/12/2024,,,texture,5,0,fixed,0.00044023,
jb,05/12/2024,,,texture,5,0,fixed,0.00026202,
jb,05/12/2024,,,texture,5,0,fixed,0.0006463,
co,05/12/2024,,,grating,1,1,fixed,0.000068,
co,05/12/2024,,,grating,1,3,fixed,0.000326,
co,05/12/2024,,,grating,1,4,fixed,0.000692,
co,05/12/2024,,,grating,5,0,fixed,0.000221,
co,05/12/2024,,,grating,5,0,fixed,0.00139,
co,05/12/2024,,,grating,5,0,fixed,0.000529,
co,05/12/2024,,,texture,1,4,fixed,0.000173,
co,05/12/2024,,,texture,1,1,fixed,0.000186,
co,05/12/2024,,,texture,1,3,fixed,0.000373,
co,05/12/2024,,,texture,5,0,fixed,0.000375,
co,05/12/2024,,,texture,5,0,fixed,0.00071,
co,05/12/2024,,,texture,5,0,fixed,0.000412,
db,05/12/2024,,,grating,1,4,fixed,0.000359,
db,05/12/2024,,,grating,1,3,fixed,0.000189,
db,05/12/2024,,,grating,1,5,fixed,0.000369,
db,05/12/2024,,,grating,5,0,fixed,0.000358,
db,05/12/2024,,,grating,5,0,fixed,0.000281,
db,05/12/2024,,,grating,5,0,fixed,0.000319,
db,05/12/2024,,,texture,1,3,fixed,0.000677,
db,05/12/2024,,,texture,1,5,fixed,0.000415,
db,05/12/2024,,,texture,1,4,fixed,0.000671,
db,05/12/2024,,,texture,5,0,fixed,0.001646,
db,05/12/2024,,,texture,5,0,fixed,0.000184,
db,05/12/2024,,,texture,5,0,fixed,0.000664,
ec,05/12/2024,,,grating,1,4,variable,0.000326,
ec,05/12/2024,,,grating,1,1,variable,0.000463,
ec,05/12/2024,,,grating,1,5,variable,0.000526,
ec,05/12/2024,,,grating,5,0,variable,0.000481,
ec,05/12/2024,,,grating,5,0,variable,0.001444,
ec,05/12/2024,,,grating,5,0,variable,0.001802,
ec,05/12/2024,,,texture,1,5,variable,0.00096,
ec,05/12/2024,,,texture,1,4,variable,0.003316,
ec,05/12/2024,,,texture,1,1,variable,0.00119,
ec,05/12/2024,,,texture,5,0,variable,0.000667,
ec,05/12/2024,,,texture,5,0,variable,0.000735,
ec,05/12/2024,,,texture,5,0,variable,0.000668,
gc,05/12/2024,,,grating,1,2,variable,0.087626,
gc,05/12/2024,,,grating,1,4,variable,0.086605,
gc,05/12/2024,,,grating,1,1,variable,0.060711,
gc,05/12/2024,,,grating,5,0,variable,0.073923,
gc,05/12/2024,,,grating,5,0,variable,0.08743,
gc,05/12/2024,,,grating,5,0,variable,0.065789,
gc,05/12/2024,,,texture,1,4,variable,0.090699,
gc,05/12/2024,,,texture,1,2,variable,0.07463,
gc,05/12/2024,,,texture,1,1,variable,0.088309,
gc,05/12/2024,,,texture,5,0,variable,0.088181,
gc,05/12/2024,,,texture,5,0,variable,0.092033,
gc,05/12/2024,,,texture,5,0,variable,0.084488,
jm,05/12/2024,,,grating,1,4,variable,0.000565,
jm,05/12/2024,,,grating,1,5,variable,0.000266,
jm,05/12/2024,,,grating,1,1,variable,0.000267,
jm,05/12/2024,,,grating,5,0,variable,0.00053,
jm,05/12/2024,,,grating,5,0,variable,0.000115,
jm,05/12/2024,,,grating,5,0,variable,0.000347,
